,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
34,แกเลิกให้ความหวังเราเหอะแง,แกเลิกให้ความหวังเราเหอะแง,vavava,2021-11-19,456000,30,0.367,0.441,0.364,0.65,0.241,-16.057,0.0281,75.009,4
35,ฤดู,Ceramics Runway,Dept,2022-11-15,263710,53,0.141,0.499,0.855,0.268,0.0941,-6.43,0.0323,145.917,4
36,คนเดียวกัน (You?),คนเดียวกัน (You?),FREEHAND,2023-06-26,241750,53,0.0196,0.546,0.578,0.01,0.189,-6.838,0.0254,152.057,3
37,คงต้องบอกลาแล้ว,Ceramics Runway,Dept,2022-11-15,270750,57,0.00362,0.412,0.718,0.00162,0.102,-7.903,0.031,160.057,4
38,โลกใบเก่า,Resurrection,Zweed n' Roll,2022-02-18,220909,36,0.567,0.552,0.437,0.00151,0.112,-10.811,0.0331,131.941,4
39,ภาพทรงจำ ( Linger on ... ),ภาพทรงจำ ( Linger on ... ),Television off,2020-12-15,252077,40,0.293,0.397,0.517,0.000641,0.209,-9.217,0.0253,153.938,3
40,ดอกไม้ไฟ,Q.E.D,Mirrr,2022-03-24,199384,58,0.382,0.768,0.758,0.000876,0.187,-6.456,0.186,130.028,4
41,เพราะเธอนั้นเป็นเหมือนดั่งโลกทั้งใบ,Ceramics Runway,Dept,2022-11-15,308442,49,0.00479,0.509,0.546,0.0148,0.137,-8.458,0.0259,144.027,4
42,วันที่เธอไม่อยู่ (Farewell),วันที่เธอไม่อยู่ (Farewell),tinn,2020-07-24,197974,53,0.238,0.661,0.516,0.000471,0.142,-7.491,0.0325,158.066,4
43,อย่าเลย...อย่า(ทรมาน),อย่าเลย...อย่า(ทรมาน),Moving and Cut,2018-04-25,255405,43,0.169,0.574,0.623,0.0387,0.22,-9.682,0.0284,147.948,4
44,ที่ผ่านมา,ความลับจักรวาล,YERM,2022-02-26,234628,51,0.526,0.42,0.404,0.000443,0.262,-14.538,0.0284,175.964,4
45,รสหวาน,ท้องฟ้าจำลอง,FREEHAND,2022-01-12,293784,63,0.000924,0.374,0.569,2.49e-05,0.0967,-7.456,0.0266,167.957,4
46,Are You out yet ?,Are You out yet ?,Anatomy Rabbit,2019-11-15,286349,56,0.614,0.608,0.486,0.0371,0.12,-8.195,0.0286,75.017,4
